Gene	LINC1KD-1-D2-NTC_ATCACG_L008	LINC1KD-2-D2-658_CGATGT_L008	LINC1KD-3-D3-NTC_TTAGGC_L008	LINC1KD-4-1D3-658_TGACCA_L008	LINC1KD-5-2D3-NTC_GCCAAT_L008	LINC1KD-6-2D3-658_TAGCTT_L008
ENSMUSG00000002102.15	4369	5072	3512	5481	5197	6169
ENSMUSG00000002103.15	253	283	183	254	189	275
ENSMUSG00000002104.11	0	33	21	36	28	15
ENSMUSG00000002105.15	148	101	69	76	99	119
ENSMUSG00000002107.18	27	41	29	24	37	84
ENSMUSG00000002108.10	15	20	18	10	13	29
ENSMUSG00000002109.14	124	97	43	70	79	99
ENSMUSG00000002111.8	0	0	5	19	7	0
ENSMUSG00000002129.11	5554	5020	4538	5745	5195	5581
ENSMUSG00000002147.18	893	541	810	717	734	501
ENSMUSG00000002190.13	993	860	809	904	639	638
ENSMUSG00000002204.9	34	73	10	31	52	36
ENSMUSG00000002205.16	635	761	496	667	704	723
ENSMUSG00000002210.11	563	416	317	500	467	523
ENSMUSG00000002221.11	3022	3115	2295	2863	2570	2755
ENSMUSG00000002222.14	1334	983	875	856	901	813
ENSMUSG00000002227.15	4118	3493	4239	4394	3837	2771
ENSMUSG00000002228.7	954	1329	1157	1984	859	1150
ENSMUSG00000002233.13	1538	2220	1481	2795	1535	2037
ENSMUSG00000002240.12	0	0	0	0	0	0
ENSMUSG00000002249.19	113	103	72	85	86	111
ENSMUSG00000002250.15	740	509	517	593	693	538
ENSMUSG00000002257.7	1389	1083	1052	1053	1176	784
ENSMUSG00000002265.16	557	536	646	432	532	486
ENSMUSG00000002266.17	19	11	12	9	11	7
ENSMUSG00000002274.12	561	401	474	641	508	295
ENSMUSG00000002279.18	82	115	65	94	100	116
ENSMUSG00000002280.10	479	505	478	617	568	595
ENSMUSG00000002289.15	529	701	424	766	554	829
ENSMUSG00000002297.15	2240	2323	1559	2185	2603	2584
ENSMUSG00000002307.15	2259	2662	1569	3122	1988	2495
ENSMUSG00000002308.15	616	725	530	903	695	940
ENSMUSG00000002319.15	5874	6604	5333	7123	5221	5374
ENSMUSG00000002320.15	1112	1045	734	1227	873	1199
ENSMUSG00000002324.7	104	153	117	105	107	141
